claim_id,doi_or_publication,figure_or_page,access_level,evidence_label,claim,missing_or_qualified,forbidden_inference
L01,10.1038/s41586-023-05886-z,Fig2g; Figure2g A:B,publisher figure/caption/source XLSX,LITERATURE_FACT,Constant-potential numeric trace at1.55V/90C through120h,"43,112 source rows; current normalization unresolved",No absolute current integration
L02,10.1038/s41586-023-05886-z,Fig2g; Figure2g D:E,publisher figure/caption/source XLSX,LITERATURE_FACT,800mA/cm2 anode-potential trace through120h,"18,750 source rows; iR handling unverified",Not full-cell voltage
L03,10.1038/s44160-026-01039-y,Fig2h; 2h A:B,publisher figure/caption/source XLSX,LITERATURE_FACT,1000mA/cm2 anode potential through200h,"134,634 source rows; iR handling unverified",Not independent electrode lifetime population
L04,10.1038/s41586-023-05886-z,Fig2c; Figure2c B:G,publisher caption/source XLSX,LITERATURE_FACT,Stored mean is an ODC-extrapolated energy metric,Raw-column-to-mean transformation unverified,Do not call arithmetic difference a paper error
L05,10.1038/s44160-026-01039-y,SI pp71-72; PDF pp74-75,public SI targeted pages,LITERATURE_FACT,TEA uses1.91/1.98V;100tCl2/day;0.07USD/kWh scenario,Source cost paragraph200/2000USD/kW ambiguity; not reused,Not plant measurements or current quote
L06,10.1038/s44160-026-01039-y,SI p2; PDF p5; public CIF CCDC2457030,public SI/CIF accessible,LITERATURE_FACT,"N,N-prime-diarylsquaramide catalyst family",Working interface not obtained,No inferred surface geometry
C01,10.1038/s41586-023-05886-z,Local published_trace_metrics.csv,executed numerical reanalysis,EXECUTED_CALCULATION,First/last-hour potential median difference44mV,Window-dependent; timestamp-balanced44.25mV,Not mechanism or industrial lifetime
C02,10.1038/s44160-026-01039-y,Local published_trace_metrics.csv,executed numerical reanalysis,EXECUTED_CALCULATION,First/last-hour potential median difference17mV,Source times repeated; independent n unknown,Not superior industrial stability claim
P01,CA3197436A1,Abstract; description0011 and0017-0025,public patent text,LITERATURE_FACT,Fluctuating-power durability acceleration has prior art,Target predominantly water-electrolysis anode,No legal status or FTO inference
P02,EP0032819A2,Description shutdown/restart discussion,public patent text,LITERATURE_FACT,Chloride-cell anode deterioration after shutdown is prior art,Different electrode materials,No claim that molecular loss model already proven
