phase,readme,title,sha256,status_reference,reuse
1,projects/phase01/README.md,Phase 01 · 复杂骨架与构象,ff992125367ea3506ab20ddd1af670276514103c71f4754fd924837dadbf06b1,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
2,projects/phase02/README.md,Phase 02 · 扭转扫描与分子动力学,5ef27deccf3d29697489641e7e227a121625a90c309f4ec8fbbff79b866d5424,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
3,projects/phase03/README.md,Phase 03 · KRAS 复合物与结合分析,025b59df4c1492b8c2d66caf0dcfa20a7f9c177fe3cc58ccaa1945d1e3c54d99,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
4,projects/phase04/README.md,Phase 04 · 骨架编辑与反应路径,e4619ea1e364ea35ec441a3f95c7d91c78545fd56e7bdc559ba6a4a69184aa1f,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
5,projects/phase05/README.md,Phase 05 · 反应网络与逆向设计,264289b00a6e29272a3f472b8e999ed72e3103df86a9330412929ca8ffe8fbfd,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
6,projects/phase06/README.md,Phase 06 · 显式溶剂与增强采样,715be6c38da2fc0e8f99abbdf6c975d0da53fde11afe8306648cbf202d88a2d4,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
7,projects/phase07/README.md,Phase 07 · 强关联与模型适用边界,48e924fd8bb3ae0240340bd69f45c5ad511651a531f89c058b7398042c48de36,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
8,projects/phase08/README.md,Phase 08 · 光化学与非绝热动力学,4ca5864563c1f1e43e2306d10156d9c0aef4e941d8bda817e13872b1e00a85ef,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
9,projects/phase09/README.md,Phase 09 · 自驱动实验室模拟,f53e1e79f9215251732bb8142439b763131253012639c009ab58dbfacf3ae2de,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
10,projects/phase10/README.md,Phase 10 · 连续流反应器数字孪生,3266903fcb23b86a1718b4476c4bcc4f0882c050a83740ecd88b279a433e9cf1,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
11,projects/phase11/README.md,Phase 11 · 神经波函数与 VMC,940f6e85c097f16ac787259f2e7f0419aa08754d5322413cfff1554817e7813c,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
12,projects/phase12/README.md,Phase 12 · 动力学定律发现,71afae6459faa77586ef07a263b7a40a3a6dca6cad22ef8727a6a814596057da,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
13,projects/phase13/README.md,Phase 13 · 金属酶与 PCET,f4bbcccd3075ae6dbe392efba35185382e5d4e8aa31b1e7b76d173d8b94bc793,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
14,projects/phase14/README.md,Phase 14 · 活性物质与凝聚体,585972ff799838abe2fa2c7e0430e862224f7196adc253d45a96859587fbbdef,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
15,projects/phase15/README.md,Phase 15 · 自由基对与变构模型,5d6c5774f0dd3b94273e2ede05eaa2961f57de5f746bdb42ff432fdb8aef0970,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
16,projects/phase16/README.md,Phase 16 · 核孔复合物与输运,c1c85d9ea6be40f499122a230c8e40160b8d62d4ed574677f64e00679a0842a5,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
17,projects/phase17/README.md,Phase 17 · 相对论量子化学,b0377b58d257b268060bafb1e513fb22a3a1bdaaba6db848391ff283efd4d143,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
18,projects/phase18/README.md,Phase 18 · 全细胞代谢与热力学,6abbdcfc83f9eafbc096067b30320df1bf0b7f2031d7eb39de6b021e4a557c2e,docs/EVIDENCE.md; existing stage conclusions preserved,navigation/context only; no chemical performance labels imported
